id,channel_id,book_type,book_id,count,start_at,created_at,updated_at
32ddb1ab-8efe-4a94-833b-f371a921dce7,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,43644,31,2019-05-01 0:00:00,2019-05-01 0:00:00,2019-05-01 0:00:00
9afa4fca-14a9-4d19-9616-067e7d8ebe03,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,641,16,2019-06-01 0:00:00,2019-06-01 0:00:00,2019-06-01 0:00:00
3a6c4115-9328-46fa-b8d0-0f017d094a98,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,1791,6,2019-06-17 0:00:00,2019-06-17 0:00:00,2019-06-17 0:00:00
661db975-b63c-4d05-ae45-68a899382479,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,1792,8,2019-06-23 0:00:00,2019-06-23 0:00:00,2019-06-23 0:00:00
9db77f8a-b964-4327-ad51-39b5ab789fc5,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,1227,31,2019-07-01 0:00:00,2019-07-01 0:00:00,2019-07-01 0:00:00
590b21ee-845d-40e8-9484-075db8880e32,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,466,31,2019-08-01 0:00:00,2019-08-01 0:00:00,2019-08-01 0:00:00
cd4a8718-385d-4b74-a977-a58d9d616022,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,447,30,2019-09-01 0:00:00,2019-09-01 0:00:00,2019-09-01 0:00:00
fabf852e-b273-476b-847b-88332dd8edac,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,635,31,2019-10-01 0:00:00,2019-10-01 0:00:00,2019-10-01 0:00:00
a869d9a1-3cc1-47a2-8990-b49b1ec68a2e,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,42349,30,2019-11-01 0:00:00,2019-11-01 0:00:00,2019-11-01 0:00:00
cc67de54-5a28-4061-a0a0-8303bb3065cf,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,530,31,2019-12-01 0:00:00,2019-12-01 0:00:00,2019-12-01 0:00:00
81f0c936-eb0c-4b97-985d-82472bb6bf4b,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,424,31,2020-01-01 0:00:00,2020-01-01 0:00:00,2020-01-01 0:00:00
66f78751-1456-4810-925a-cba651461172,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,360,29,2020-02-01 0:00:00,2020-02-01 0:00:00,2020-02-01 0:00:00
fdc2e4e2-515b-43e5-97d9-dbe0a2ae8662,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,42941,61,2020-03-01 0:00:00,2020-03-01 0:00:00,2020-03-01 0:00:00
3555fa7b-5640-41e8-bed1-99d6d66d9fc3,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,46822,31,2020-05-01 0:00:00,2020-05-01 0:00:00,2020-05-01 0:00:00
93f388fc-9ff4-4410-8171-2e15921b3a2b,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,907,30,2020-06-01 7:00:00,2020-06-01 7:00:00,2020-06-01 7:00:00
efbedf87-37ca-4026-986f-8bbc72e3003e,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,4813,31,2020-07-01 7:00:00,2020-07-01 7:00:00,2020-07-01 7:00:00
ff1c2aa5-778e-44fa-8f4a-95908f7cc3a3,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,4920,31,2020-08-01 7:00:00,2020-08-01 7:00:00,2020-08-01 7:00:00
a6957cb0-2d5e-4a13-a2c9-523bd70a9f0a,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,57349,30,2020-09-01 7:00:00,2020-09-01 7:00:00,2020-09-01 7:00:00
